year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
2018,Russia,Moscow,Group H,Poland,Senegal,1,2,A,,Senegal,Poland,19-06-2018,Jun,Tuesday
2018,Russia,Saint Petersburg,Group A,Russia,Egypt,3,1,H,,Russia,Egypt,19-06-2018,Jun,Tuesday
2018,Russia,Moscow,Group B,Portugal,Morocco,1,0,H,,Portugal,Morocco,20-06-2018,Jun,Wednesday
2018,Russia,Rostov-on-Don,Group A,Uruguay,Saudi Arabia,1,0,H,,Uruguay,Saudi Arabia,20-06-2018,Jun,Wednesday
2018,Russia,Kazan,Group B,Iran,Spain,0,1,A,,Spain,Iran,20-06-2018,Jun,Wednesday
2018,Russia,Samara,Group C,Denmark,Australia,1,1,D,,NA,NA,21-06-2018,Jun,Thursday
2018,Russia,Ekaterinburg,Group C,France,Peru,1,0,H,,France,Peru,21-06-2018,Jun,Thursday
2018,Russia,Nizhny Novgorod,Group D,Argentina,Croatia,0,3,A,,Croatia,Argentina,21-06-2018,Jun,Thursday
2018,Russia,Saint Petersburg,Group E,Brazil,Costa Rica,2,0,H,,Brazil,Costa Rica,22-06-2018,Jun,Friday
2018,Russia,Volgograd,Group D,Nigeria,Iceland,2,0,H,,Nigeria,Iceland,22-06-2018,Jun,Friday
2018,Russia,Kaliningrad,Group E,Serbia,Switzerland,1,2,A,,Switzerland,Serbia,22-06-2018,Jun,Friday
2018,Russia,Moscow,Group G,Belgium,Tunisia,5,2,H,,Belgium,Tunisia,23-06-2018,Jun,Saturday
2018,Russia,Rostov-on-Don,Group F,South Korea,Mexico,1,2,A,,Mexico,South Korea,23-06-2018,Jun,Saturday
2018,Russia,Sochi,Group F,Germany,Sweden,2,1,H,,Germany,Sweden,23-06-2018,Jun,Saturday
2018,Russia,Nizhny Novgorod,Group G,England,Panama,6,1,H,,England,Panama,24-06-2018,Jun,Sunday
2018,Russia,Ekaterinburg,Group H,Japan,Senegal,2,2,D,,NA,NA,24-06-2018,Jun,Sunday
2018,Russia,Kazan,Group H,Poland,Colombia,0,3,A,,Colombia,Poland,24-06-2018,Jun,Sunday
2018,Russia,Samara,Group A,Russia,Uruguay,0,3,A,,Uruguay,Russia,25-06-2018,Jun,Monday
2018,Russia,Volgograd,Group A,Saudi Arabia,Egypt,2,1,H,,Saudi Arabia,Egypt,25-06-2018,Jun,Monday
2018,Russia,Kaliningrad,Group B,Spain,Morocco,2,2,D,,NA,NA,25-06-2018,Jun,Monday
2018,Russia,Saransk,Group B,Iran,Portugal,1,1,D,,NA,NA,25-06-2018,Jun,Monday
2018,Russia,Sochi,Group C,Australia,Peru,0,2,A,,Peru,Australia,26-06-2018,Jun,Tuesday
2018,Russia,Moscow,Group C,Denmark,France,0,0,D,,NA,NA,26-06-2018,Jun,Tuesday
2018,Russia,Saint Petersburg,Group D,Nigeria,Argentina,1,2,A,,Argentina,Nigeria,26-06-2018,Jun,Tuesday
2018,Russia,Rostov-on-Don,Group D ,Iceland,Croatia,1,2,A,,Croatia,Iceland,26-06-2018,Jun,Tuesday
2018,Russia,Kazan,Group F,South Korea,Germany,2,0,H,,South Korea,Germany,27-06-2018,Jun,Wednesday
2018,Russia,Ekaterinburg,Group F,Mexico,Sweden,0,3,A,,Sweden,Mexico,27-06-2018,Jun,Wednesday
2018,Russia,Moscow,Group E,Serbia,Brazil,0,2,A,,Brazil,Serbia,27-06-2018,Jun,Wednesday
2018,Russia,Nizhny Novgorod,Group E,Switzerland,Costa Rica,2,2,D,,NA,NA,27-06-2018,Jun,Wednesday
2018,Russia,Volgograd,Group H,Japan,Poland,0,1,A,,Poland,Japan,28-06-2018,Jun,Thursday
